Study_Hours,Attendance_Percentage,Previous_Scores,Sleep_Hours,Participation_Level,Passed
8.7,67.4,58.6,6.0,3,1
19.1,81.7,79.6,6.0,1,1
15.2,94.9,91.3,8.6,5,1
12.8,89.3,75.0,6.0,3,1
4.8,92.3,53.3,6.1,2,1
4.8,86.4,60.1,8.0,3,1
3.0,87.7,57.1,6.8,3,0
17.6,94.0,80.8,8.1,2,1
12.8,70.0,72.4,5.3,4,1
14.7,79.6,80.8,7.0,4,1
2.4,68.8,36.8,5.1,1,0
19.5,99.5,87.4,5.3,1,1
17.0,97.8,90.1,8.6,4,1
5.8,61.6,48.6,5.6,5,0
5.3,88.2,63.9,7.1,3,1
5.3,97.0,69.9,6.6,5,1
7.5,67.2,49.1,6.4,3,0
11.4,82.7,68.1,8.6,4,1
9.8,96.6,75.8,5.1,1,1
7.2,61.4,54.8,7.7,1,0
13.0,87.9,82.7,8.9,5,1
4.5,71.9,45.9,7.2,1,0
7.3,97.0,68.8,8.7,4,1
8.6,98.8,79.4,5.2,5,1
10.2,97.8,75.7,6.7,3,1
16.1,,65.7,6.0,1,1
5.6,94.5,67.6,7.9,2,1
11.3,93.8,78.1,8.9,1,1
12.7,72.8,71.4,6.0,3,1
2.8,93.2,56.8,7.6,5,0
12.9,61.5,59.4,5.8,3,1
5.1,83.9,46.8,7.3,2,0
3.2,69.2,56.9,6.9,4,0
19.1,64.8,70.8,8.9,1,1
19.4,63.1,92.0,7.4,5,1
16.6,87.9,94.8,6.4,4,1
7.5,73.6,53.2,5.5,3,1
3.8,89.0,58.5,5.6,5,1
14.3,62.6,70.3,5.9,4,1
9.9,72.6,57.4,6.0,5,1
4.2,81.6,51.0,8.4,2,0
10.9,91.6,69.0,7.2,2,1
2.6,72.8,52.9,7.1,1,0
18.4,85.0,82.1,5.5,1,1
6.7,95.4,63.6,8.4,2,1
13.9,84.6,77.0,7.9,5,1
7.6,69.3,58.4,5.3,2,0
11.4,61.0,52.7,7.8,1,1
11.8,94.8,74.8,7.2,2,1
5.3,60.9,41.9,5.3,2,0
19.5,95.0,88.8,6.8,5,1
16.0,81.2,75.5,6.9,4,1
18.9,97.6,86.1,5.7,1,1
18.1,92.0,90.9,8.8,5,1
12.8,99.9,78.4,8.4,2,1
18.6,74.0,77.8,7.7,2,1
3.6,90.7,58.1,6.8,4,1
5.5,76.1,57.8,6.6,1,0
2.8,79.2,52.0,7.6,1,0
7.9,85.1,63.6,7.2,3,1
9.0,94.9,68.7,5.2,1,1
6.9,99.4,69.6,7.1,4,1
16.9,90.7,71.0,8.2,3,1
8.4,76.7,61.3,6.8,3,1
7.1,76.9,58.1,5.2,2,1
11.8,89.5,64.2,8.1,2,1
4.5,69.6,48.3,5.8,1,0
16.4,64.4,69.7,6.0,3,1
3.3,74.2,49.5,5.7,2,0
